Magic,Symbol,Signal,EntryPrice,StopLoss,TakeProfit,LotSize,Timestamp
123450,XAUCAD,BUY,3615.94776,3615.94511,3615.95373,0.02,2026-03-24 05:55:22
123451,EURUSD,BUY,1.10372,1.10054,1.11154,0.06,2026-03-24 05:51:22
123452,USDJPY,SELL,149.92505,150.15449,149.525,0.01,2026-03-24 05:50:22
123453,USDCHF,BUY,0.8817,0.8786,0.88652,0.03,2026-03-24 06:38:22
123454,EURUSD,BUY,1.10084,1.09844,1.10857,0.08,2026-03-24 06:02:22
123455,USDJPY,BUY,149.13301,148.65823,149.97,0.02,2026-03-24 06:25:22
123456,USDJPY,BUY,149.51341,149.05203,150.39079,0.03,2026-03-24 06:18:22
123457,USDJPY,BUY,149.48952,149.05743,150.00329,0.04,2026-03-24 06:27:22
123458,XAUCAD,SELL,3609.06109,3609.06369,3609.05588,0.07,2026-03-24 05:57:22
123459,USDJPY,BUY,149.14968,148.80981,149.87413,0.09,2026-03-24 06:00:22
123460,XAUAUD,BUY,4044.73462,4044.73008,4044.74369,0.09,2026-03-24 06:10:22
123461,XAUGBP,BUY,2094.00373,2093.99948,2094.00827,0.05,2026-03-24 06:32:22
123462,XAUGBP,BUY,2096.72811,2096.72422,2096.7344,0.09,2026-03-24 06:24:22
123463,XAUAUD,SELL,4060.36097,4060.36491,4060.35659,0.09,2026-03-24 06:04:22
123464,USDCAD,SELL,1.35861,1.36283,1.35423,0.06,2026-03-24 05:56:22
