Magic_Number,Symbol,Signal,Entry_Price,Stop_Loss,Take_Profit,Volume,Confidence,Risk_Reward,Expiry,Comment
123450,XAUCAD,BUY,3615.94776,3615.94511,3615.95373,0.02,0.81,2.25,2026-03-24 09:55:22,GenX_BUY_XAUCAD
123451,EURUSD,BUY,1.10372,1.10054,1.11154,0.06,0.76,2.46,2026-03-24 09:51:22,GenX_BUY_EURUSD
123452,USDJPY,SELL,149.92505,150.15449,149.525,0.01,0.81,1.74,2026-03-24 09:50:22,GenX_SELL_USDJPY
123453,USDCHF,BUY,0.8817,0.8786,0.88652,0.03,0.8,1.55,2026-03-24 10:38:22,GenX_BUY_USDCHF
123454,EURUSD,BUY,1.10084,1.09844,1.10857,0.08,0.81,3.23,2026-03-24 10:02:22,GenX_BUY_EURUSD
123455,USDJPY,BUY,149.13301,148.65823,149.97,0.02,0.87,1.76,2026-03-24 10:25:22,GenX_BUY_USDJPY
123456,USDJPY,BUY,149.51341,149.05203,150.39079,0.03,0.77,1.9,2026-03-24 10:18:22,GenX_BUY_USDJPY
123457,USDJPY,BUY,149.48952,149.05743,150.00329,0.04,0.83,1.19,2026-03-24 10:27:22,GenX_BUY_USDJPY
123458,XAUCAD,SELL,3609.06109,3609.06369,3609.05588,0.07,0.81,2.01,2026-03-24 09:57:22,GenX_SELL_XAUCAD
123459,USDJPY,BUY,149.14968,148.80981,149.87413,0.09,0.83,2.13,2026-03-24 10:00:22,GenX_BUY_USDJPY
123460,XAUAUD,BUY,4044.73462,4044.73008,4044.74369,0.09,0.88,2.0,2026-03-24 10:10:22,GenX_BUY_XAUAUD
123461,XAUGBP,BUY,2094.00373,2093.99948,2094.00827,0.05,0.84,1.07,2026-03-24 10:32:22,GenX_BUY_XAUGBP
123462,XAUGBP,BUY,2096.72811,2096.72422,2096.7344,0.09,0.93,1.61,2026-03-24 10:24:22,GenX_BUY_XAUGBP
123463,XAUAUD,SELL,4060.36097,4060.36491,4060.35659,0.09,0.76,1.11,2026-03-24 10:04:22,GenX_SELL_XAUAUD
123464,USDCAD,SELL,1.35861,1.36283,1.35423,0.06,0.89,1.04,2026-03-24 09:56:22,GenX_SELL_USDCAD
